,Electricity (%_elec),Space Heating (%_sh),Passanger mobility (%_pass),Freight mobility (%_freight),PV,Wind_onshore,Wind_offshore,Hydro_river,Solar
273,9.16e-05,0.000361,0.000147,0.000114,2.57e-06,0.851,0.875,0.346,0.0
274,0.000107,0.000364,0.000164,0.000114,0.00308,0.835,0.883,0.346,0.0
275,0.000116,0.000366,0.000188,0.000114,0.0195,0.855,0.879,0.346,0.0
276,0.000124,0.000367,0.000207,0.000114,0.0344,0.845,0.876,0.346,0.0
277,0.000128,0.000371,0.000188,0.000114,0.0408,0.839,0.876,0.346,0.0
278,0.000112,0.000372,0.00019,0.000114,0.0426,0.858,0.883,0.346,0.0
279,0.000101,0.000376,0.000214,0.000114,0.0379,0.836,0.873,0.345,0.0
280,0.000101,0.000379,0.000223,0.000114,0.0253,0.83,0.844,0.345,0.0
281,0.000106,0.000382,0.000223,0.000114,0.00548,0.821,0.873,0.345,0.0
282,0.000146,0.000386,0.000164,0.000114,0.0,0.814,0.889,0.345,0.0
283,0.000166,0.000389,0.000117,0.000114,0.0,0.839,0.888,0.345,0.0
284,0.000161,0.000395,8.81e-05,0.000114,0.0,0.832,0.89,0.345,0.0
285,0.000149,0.000392,5.87e-05,0.000114,0.0,0.815,0.855,0.345,0.0
286,0.000131,0.000395,3.76e-05,0.000114,0.0,0.833,0.888,0.344,0.0
287,0.000133,0.000397,2.35e-05,0.000114,0.0,0.83,0.892,0.344,0.0
288,0.000132,0.000399,9.4e-06,0.000114,0.0,0.822,0.89,0.344,0.0
289,0.000108,0.000392,5.87e-06,0.000114,0.0,0.847,0.892,0.344,0.0
290,8.95e-05,0.000389,2.35e-06,0.000114,0.0,0.843,0.886,0.344,0.0
291,7.49e-05,0.000374,1.17e-06,0.000114,0.0,0.852,0.879,0.344,0.0
292,6.68e-05,0.000367,1.41e-05,0.000114,0.0,0.803,0.881,0.343,0.0
293,6.81e-05,0.000362,3.76e-05,0.000114,0.0,0.81,0.865,0.343,0.0
294,9.02e-05,0.000356,9.4e-05,0.000114,0.0,0.859,0.865,0.343,0.0
295,0.00014,0.000352,0.000182,0.000114,0.0,0.867,0.875,0.343,0.0
